mensaje,empresa
"Hola Marta, vi vuestra nota de prensa y me gustaria saber como lo llevais.",Acme
"Buenas Luis, leo que abris en Lisboa y me gustaria saber si con equipo propio.",Bravo
"Que tal Ana, vuestra ronda salio en junio y me gustaria saber en que se nota.",Cedro
"Marc, publicais el roadmap entero y me gustaria saber si os trae clientes.",Delta
"Buenos dias Sofia, pasasteis de 40 a 300 referencias y me gustaria saber como.",Eolo
"Javier, di con tu charla de logistica inversa y me gustaria saber si sigue vigente.",Faro
"Hola Nuria, tres anos sin tocar precios y me gustaria saber si es postura.",Gala
"Diego, seguis vendiendo solo por telefono y me gustaria saber si es decision.",Hito
"Elena, vuestro blog tecnico esta muy bien y me gustaria saber quien lo escribe.",Acme
"Pablo, entrais en Francia el trimestre que viene y me gustaria saber con quien.",Bravo
