mensaje
"Hola Marta, vi que estáis creciendo el equipo comercial bastante rápido últimamente. ¿Cómo lo estáis llevando?"
"Hola Luis, vi que habéis abierto sede en Lisboa hace poco, enhorabuena. ¿Qué tal la expansión?"
"Hola Ana, leí lo del cambio de CRM que contabais en el blog. ¿Qué tal fue la migración?"
"Hola Carlos, leí lo que publicasteis sobre la integración con vuestro ERP. ¿Os dio mucha guerra?"
"Hola Elena, me quedé con lo que comentabas sobre los handoffs entre equipos. ¿Sigue siendo el cuello de botella?"
"Hola Javier, me quedé pensando en vuestra ronda y en cómo escala esto. ¿Ya tenéis plan de contratación?"
"Hola Rocío, estuve mirando cómo habéis montado el onboarding de clientes nuevos. ¿Lo lleváis a mano?"
"Hola Pablo, estuve mirando que abrís mercado en Portugal este año. ¿Quién se ocupa de la operativa allí?"
"Hola Silvia, se me quedó grabado lo del cierre de trimestre que contabas. ¿Cómo lo resolvisteis?"
"Hola Tomás, se me ocurrió escribirte por lo que decíais de conciliación bancaria. ¿Sigue doliendo?"
