mensaje,mensaje_final,empresa
"Hola Marta, vi que estáis creciendo el equipo comercial bastante rápido últimamente. ¿Cómo lo estáis llevando?","Hola, te escribo por aquí por si te encaja. Quién se encarga de que eso no se desmadre?",Acme
"Hola Luis, vi que habéis abierto sede en Lisboa hace poco, enhorabuena. ¿Qué tal la expansión?","Hola, te escribo por aquí por si te encaja. Quién se encarga de que eso no se desmadre?",Acme
"Hola Ana, leí lo del cambio de CRM que contabais en el blog. ¿Qué tal fue la migración?","Hola, te escribo por aquí por si te encaja. Quién se encarga de que eso no se desmadre?",Bravo
"Hola Carlos, leí lo que publicasteis sobre la integración con vuestro ERP. ¿Os dio mucha guerra?","Hola, te escribo por aquí por si te encaja. Quién se encarga de que eso no se desmadre?",Bravo
"Hola Elena, me quedé con lo que comentabas sobre los handoffs entre equipos. ¿Sigue siendo el cuello de botella?","Hola, te escribo por aquí por si te encaja. Quién se encarga de que eso no se desmadre?",Cierzo
"Hola Javier, me quedé pensando en vuestra ronda y en cómo escala esto. ¿Ya tenéis plan de contratación?","Hola, te escribo por aquí por si te encaja. Quién se encarga de que eso no se desmadre?",Cierzo
"Hola Rocío, estuve mirando cómo habéis montado el onboarding de clientes nuevos. ¿Lo lleváis a mano?","Hola, te escribo por aquí por si te encaja. Quién se encarga de que eso no se desmadre?",Delta
"Hola Pablo, estuve mirando que abrís mercado en Portugal este año. ¿Quién se ocupa de la operativa allí?","Hola, te escribo por aquí por si te encaja. Quién se encarga de que eso no se desmadre?",Delta
"Hola Silvia, se me quedó grabado lo del cierre de trimestre que contabas. ¿Cómo lo resolvisteis?","Hola, te escribo por aquí por si te encaja. Quién se encarga de que eso no se desmadre?",Eco
"Hola Tomás, se me ocurrió escribirte por lo que decíais de conciliación bancaria. ¿Sigue doliendo?","Hola, te escribo por aquí por si te encaja. Quién se encarga de que eso no se desmadre?",Eco
