mensaje,empresa
"Hola Marta, te escribo por aquí por si te encaja. Vi que estáis creciendo el equipo de ops y suele venir con lío de procesos. Quién se encarga de que eso no se desmadre?",Acme
"Hola Luis, te escribo por aquí por si te encaja. Vi que habéis abierto oficina nueva y suele venir con lío de procesos. Quién se encarga de que eso no se desmadre?",Acme
"Hola Ana, te escribo por aquí por si te encaja. Vi que estáis contratando comerciales y suele venir con lío de procesos. Quién se encarga de que eso no se desmadre?",Bravo
"Hola Carlos, te escribo por aquí por si te encaja. Vi que habéis cambiado de CRM y suele venir con lío de procesos. Quién se encarga de que eso no se desmadre?",Bravo
"Hola Elena, te escribo por aquí por si te encaja. Vi que estáis integrando dos sistemas y suele venir con lío de procesos. Quién se encarga de que eso no se desmadre?",Cierzo
"Hola Javier, te escribo por aquí por si te encaja. Vi que habéis levantado ronda y suele venir con lío de procesos. Quién se encarga de que eso no se desmadre?",Cierzo
"Hola Rocío, te escribo por aquí por si te encaja. Vi que estáis abriendo mercado y suele venir con lío de procesos. Quién se encarga de que eso no se desmadre?",Delta
"Hola Pablo, te escribo por aquí por si te encaja. Vi que habéis duplicado plantilla y suele venir con lío de procesos. Quién se encarga de que eso no se desmadre?",Delta
"Oye Silvia, leí lo del cierre de trimestre que contabas. Nosotros pasamos por algo parecido con la conciliación y acabamos montando un chequeo semanal. Cómo lo lleváis vosotros?",Eco
"Buenas Tomás. Me quedé con lo que comentabas sobre los handoffs entre ventas y delivery, que es donde más se pierde. Tenéis algo montado ahí o va a mano?",Eco
