mensaje,empresa
"Hola Marta, vi que estáis creciendo el equipo comercial bastante rápido. ¿Cómo lo estáis llevando?",Acme
"Hola Luis, habéis abierto sede en Lisboa hace poco, enhorabuena. ¿Qué tal la expansión?",Bravo
"Buenas Ana, leí la nota sobre vuestra ronda de septiembre. ¿En qué se va a notar primero?",Cedro
"Marc, me llamó la atención que publiquéis el roadmap entero en abierto. ¿Os ha traído clientes?",Delta
"Buenos días Sofía, vuestro catálogo pasó de 40 a 300 referencias en un año. ¿Cómo lo gestionáis?",Eolo
"Javier, vi la charla que diste sobre logística inversa. Me quedé con lo del coste oculto.",Faro
"Hola Nuria, lleváis tres años sin tocar precios en un sector que sube. ¿Es postura o es margen?",Gala
"Qué tal Diego, me sorprendió que sigáis vendiendo solo por teléfono. ¿Es decisión o inercia?",Hito
"Elena, he estado leyendo vuestro blog técnico. El post de migraciones es de los buenos.",Iris
"Hola Pablo, entráis en Francia el trimestre que viene según vuestra web. ¿Con equipo local?",Jara
"Buenas Rocío, tenéis 12 vacantes abiertas de perfil comercial. Eso es un plan, no una racha.",Kilo
"Adrián, vuestro configurador de producto es de lo mejor que he visto en el sector.",Lumen
"Hola Carmen, dejasteis de hacer ferias en 2024 y no habéis vuelto. ¿Salieron las cuentas?",Miro
"Qué tal Sergio, veo que integráis con siete ERPs distintos. Eso es mucho mantenimiento.",Nadir
"Lucía, me fijé en que dais precio público estando en B2B. Sois cuatro en España que lo hacéis.",Ónice
"Buenas tardes Iván, vuestra garantía de 10 años es el doble que la del resto. ¿Os la reclaman?",Prisma
"Hola Teresa, habéis pasado de distribuidor a marca propia. Ese salto suele doler un año.",Quilate
"Raúl, leí que cerrasteis la línea de consumo para centraros en industrial. Valiente.",Rambla
"Buenas Marta, el informe que publicasteis en junio lo cité en una propuesta la semana pasada.",Sauce
"Hola Óscar, dais soporte en cinco idiomas siendo 30 personas. ¿Externalizado o interno?",Tilo
"Patricia, vuestro NPS sale publicado cada trimestre. Casi nadie se atreve a eso.",Umbra
"Qué tal Andrés, habéis bajado el plazo de entrega de 15 días a 4. ¿Stock o proceso?",Vega
"Buenos días Clara, seguís sin comercial en Cataluña según LinkedIn. ¿Lo lleváis desde Madrid?",Yunque
"Hola Tomás, vuestro caso con el grupo hotelero está muy bien contado. ¿Cuánto duró el piloto?",Zafiro
"Buenas Ignacio, sois el segundo contacto que veo de Acme en logística. ¿Lleváis rutas propias?",Acme
"Hola Silvia, en Bravo veo dos equipos de expansión distintos. ¿Iberia y LatAm van separadas?",Bravo
"Qué tal Emilio, en Vega el plazo de 4 días, ¿aplica también a pedidos fuera de catálogo?",Vega
